Country,Time,Value
Portugal,2020,18492.0
Portugal,2021,19215.1647102476
Portugal,2022,20323.3009824094
Slovak Republic,2000,5429.35745140709
Slovak Republic,2001,5732.17712298375
Slovak Republic,2002,6204.56763729585
Slovak Republic,2003,6741.05885347917
Slovak Republic,2004,7339.87902002877
Slovak Republic,2005,7997.0
Slovak Republic,2006,8673.0
Slovak Republic,2007,9449.0
Slovak Republic,2008,9979.0
Slovak Republic,2009,10320.0
Slovak Republic,2010,10883.0
Slovak Republic,2011,11203.0
Slovak Republic,2012,11448.0
Slovak Republic,2013,11684.0
Slovak Republic,2014,11904.0
Slovak Republic,2015,12362.0
Slovak Republic,2016,12719.0
Slovak Republic,2017,13268.0
Slovak Republic,2018,13964.0
Slovak Republic,2019,14814.0
Slovak Republic,2020,15342.0
Slovak Republic,2021,16121.5811867596
Slovak Republic,2022,17256.4280558476
Spain,2000,18526.3841003138
Spain,2001,19085.3633075572
Spain,2002,19700.3181829895
Spain,2003,20229.3730957402
Spain,2004,20674.5803882143
Spain,2005,21456.0
Spain,2006,22107.0
Spain,2007,23102.0
Spain,2008,24775.0
Spain,2009,26083.0
Spain,2010,26349.0
Spain,2011,26487.0
Spain,2012,26271.0
Spain,2013,26526.0
Spain,2014,26479.0
Spain,2015,26852.0
Spain,2016,26745.0
Spain,2017,26802.0
Spain,2018,27095.0
Spain,2019,27677.0
Spain,2020,27300.0
Spain,2021,28265.9045196395
Spain,2022,29113.2786476642
Sweden,2000,251428.942621989
Sweden,2001,259626.437522295
Sweden,2002,267423.922243715
Sweden,2003,274972.071214307
Sweden,2004,285404.045347031
Sweden,2005,294983.0
Sweden,2006,305404.0
Sweden,2007,319871.0
Sweden,2008,335475.0
Sweden,2009,343604.0
Sweden,2010,352076.0
Sweden,2011,362318.0
Sweden,2012,372042.0
Sweden,2013,378658.0
Sweden,2014,386881.0
Sweden,2015,396616.0
Sweden,2016,406310.0
Sweden,2017,415858.0
Sweden,2018,428091.0
Sweden,2019,441613.0
Sweden,2020,451328.0
Sweden,2021,465762.915729695
Sweden,2022,482555.494244775
Switzerland,2000,71791.6944930855
Switzerland,2001,76083.9955506096
Switzerland,2002,77235.9133466335
Switzerland,2003,77710.5977792417
Switzerland,2004,77592.1441754372
Switzerland,2005,79635.0
Switzerland,2006,81014.0
Switzerland,2007,83266.0
Switzerland,2008,85252.0
Switzerland,2009,86422.0
Switzerland,2010,86231.0
Switzerland,2011,86413.0
Switzerland,2012,86864.0
Switzerland,2013,87644.0
Switzerland,2014,87588.0
Switzerland,2015,86875.0
Switzerland,2016,86313.0
Switzerland,2017,86533.0
Switzerland,2018,87358.0
Switzerland,2019,88703.0
Switzerland,2020,86516.0
Switzerland,2021,89978.7118174658
Switzerland,2022,92930.5390469646
United Kingdom,2000,22017.0469614776
United Kingdom,2001,23129.0637994702
United Kingdom,2002,23575.8693617027
United Kingdom,2003,24648.8764696356
United Kingdom,2004,25881.2838797344
United Kingdom,2005,26655.0
United Kingdom,2006,27956.0
United Kingdom,2007,29540.0
United Kingdom,2008,29917.0
United Kingdom,2009,30148.0
United Kingdom,2010,30565.0
United Kingdom,2011,31194.0
United Kingdom,2012,31462.0
United Kingdom,2013,32460.0
United Kingdom,2014,32940.0
United Kingdom,2015,33294.0
United Kingdom,2016,34095.0
United Kingdom,2017,34875.0
United Kingdom,2018,35793.0
United Kingdom,2019,36899.0
United Kingdom,2020,36528.0
United Kingdom,2021,38248.4752501836
United Kingdom,2022,40678.2417925387
United States,2000,38863.0278199539
United States,2001,39946.7757093478
United States,2002,40796.8239318387
United States,2003,42101.6284409719
United States,2004,43946.3802598065
United States,2005,45255.0
United States,2006,47226.0
United States,2007,49354.0
United States,2008,50690.0
United States,2009,51055.0
United States,2010,52429.0
United States,2011,53828.0
United States,2012,55300.0
United States,2013,55781.0
United States,2014,57451.0
United States,2015,59030.0
United States,2016,59729.0
