"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"SAU","Saudi Arabia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2017","2017","PC","Percentage","0","Units",,,-0.8381946,,
"SAU","Saudi Arabia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2018","2018","PC","Percentage","0","Units",,,2.458142,,
"SAU","Saudi Arabia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2019","2019","PC","Percentage","0","Units",,,-2.093333,,
"SAU","Saudi Arabia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2020","2020","PC","Percentage","0","Units",,,3.445458,,
"SAU","Saudi Arabia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2021","2021","PC","Percentage","0","Units",,,3.06329,,
"SAU","Saudi Arabia","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2022","2022","PC","Percentage","0","Units",,,2.474074,,
"ZAF","South Africa","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,5.438221,,
"ZAF","South Africa","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,5.031933,,
"ZAF","South Africa","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,3.344389,,
"ZAF","South Africa","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,1.756263,,
"ZAF","South Africa","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,2.041353,,
"ZAF","South Africa","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2020","2020","PC","Percentage","0","Units",,,0.875762,,
"ZAF","South Africa","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2021","2021","PC","Percentage","0","Units",,,1.446932,,
"ZAF","South Africa","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2022","2022","PC","Percentage","0","Units",,,2.206561,,
