Subject,Country,Year,CPI
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Czech Republic,2016,104.3833
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Czech Republic,2017,106.225
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Czech Republic,2018,109.4167
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Czech Republic,2019,111.8167
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Czech Republic,2020,120.2667
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Czech Republic,2021,130.425
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Czech Republic,2022,138.575
"CPI: 04 - Housing, water, electricity, gas and other fuels",Lithuania,2015,99.99998
"CPI: 04 - Housing, water, electricity, gas and other fuels",Lithuania,2016,97.97095
"CPI: 04 - Housing, water, electricity, gas and other fuels",Lithuania,2017,99.05473
"CPI: 04 - Housing, water, electricity, gas and other fuels",Lithuania,2018,103.0982
"CPI: 04 - Housing, water, electricity, gas and other fuels",Lithuania,2019,105.2889
"CPI: 04 - Housing, water, electricity, gas and other fuels",Lithuania,2020,101.7054
"CPI: 04 - Housing, water, electricity, gas and other fuels",Lithuania,2021,109.679
"CPI: 04 - Housing, water, electricity, gas and other fuels",Lithuania,2022,163.5988
"CPI: 04 - Housing, water, electricity, gas and other fuels",Colombia,2015,100.0
"CPI: 04 - Housing, water, electricity, gas and other fuels",Colombia,2016,105.7907
"CPI: 04 - Housing, water, electricity, gas and other fuels",Colombia,2017,110.4889
"CPI: 04 - Housing, water, electricity, gas and other fuels",Colombia,2018,115.3349
"CPI: 04 - Housing, water, electricity, gas and other fuels",Colombia,2019,119.9479
"CPI: 04 - Housing, water, electricity, gas and other fuels",Colombia,2020,122.6852
"CPI: 04 - Housing, water, electricity, gas and other fuels",Colombia,2021,126.2409
"CPI: 04 - Housing, water, electricity, gas and other fuels",Colombia,2022,133.5618
CPI: 03 - Clothing and footwear,Hungary,2015,100.0
CPI: 03 - Clothing and footwear,Hungary,2016,100.4582
